,Label,totalWordsCount,JJS,NN,NNS,PDT,RB,RBR,RP,TOs,WP,questionmarks,exclamationmarks,semicolon,colon,ellipsis,pronouns1st,pronouns2nd,sentence1st,sentencelast,txtcomplexity,site
0,objective,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,msn.foxsports.com
1,objective,309,0,1,0,0,0,0,1,0,0,0,0,0,5,0,1,0,1,1,14,msn.foxsports.com
2,objective,149,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,uk.eurosport.yahoo.com
3,objective,305,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,20,uk.eurosport.yahoo.com
4,objective,491,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,24,uk.eurosport.yahoo.com
5,objective,314,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,18,msn.foxsports.com
6,objective,314,0,3,0,0,0,0,0,0,0,0,0,0,8,0,3,0,1,1,31,uk.eurosport.yahoo.com
7,objective,462,0,1,0,0,0,0,3,0,0,0,0,0,0,0,2,2,1,1,17,msn.foxsports.com
8,objective,808,0,7,0,0,0,0,8,0,0,0,0,0,0,0,1,2,1,1,17,msn.foxsports.com
9,subjective,2245,0,6,0,7,3,0,0,0,0,2,0,0,1,0,11,10,1,1,17,msn.foxsports.com
10,objective,860,0,2,0,0,4,1,0,0,2,0,0,0,0,0,0,0,1,1,24,msn.foxsports.com
11,objective,497,0,11,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,1,17,msn.foxsports.com
12,objective,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,msn.foxsports.com
13,objective,792,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,msn.foxsports.com
14,subjective,1051,0,4,0,0,3,1,0,0,0,4,0,0,5,0,5,1,1,1,22,msn.foxsports.com
15,objective,246,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,10,msn.foxsports.com
16,objective,614,0,5,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,20,msn.foxsports.com
17,objective,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,msn.foxsports.com
18,objective,246,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,27,msn.foxsports.com
19,objective,293,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,1,26,msn.foxsports.com
20,objective,1367,0,9,1,15,3,0,1,0,0,1,0,2,2,0,17,9,1,1,34,msn.foxsports.com
21,objective,845,0,6,1,0,2,1,8,0,1,1,0,0,4,0,13,0,1,1,17,msn.foxsports.com
22,objective,112,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,msn.foxsports.com
23,objective,204,0,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,25,msn.foxsports.com
24,objective,177,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,1,1,16,msn.foxsports.com
25,objective,253,0,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,16,msn.foxsports.com
26,objective,1122,0,7,1,0,0,1,1,0,0,1,0,0,3,0,5,14,1,1,22,www.foxsportswest.com
27,objective,653,0,0,0,0,2,0,4,0,0,0,0,0,4,0,8,0,1,1,16,www.foxsportswisconsin.com
28,objective,985,0,2,0,0,0,0,9,0,0,0,0,0,3,0,3,6,1,1,18,www.foxsportswisconsin.com
29,subjective,1169,0,3,1,6,4,0,1,0,0,1,0,0,0,0,3,20,1,1,21,www.nba.com
30,objective,513,0,4,2,2,1,0,0,0,0,0,0,0,4,0,3,4,0,1,19,www.thesun.co.uk
31,objective,853,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,22,www.foxsports.com.au
